All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
210,782,2200,10743,1020,1211,5980,1785,440,729,483,2928,2740,914,135941,9356
211,783,2201,11141,1021,1213,6002,1786,443,730,486,2959,2798,915,135946,9376
212,799,2202,11146,1024,1230,6018,1788,444,731,487,2969,2890,916,135948,283238
213,800,2243,11152,1059,1233,6091,1794,445,732,488,2971,2902,917,138799,57084
214,811,2253,23314,1105,1241,6093,1795,460,735,490,3087,2904,919,138802,100500938
215,819,2254,23592,1106,1264,6239,1808,462,760,491,3090,2906,923,138803,283150
216,821,2255,25836,1107,1266,6262,1813,463,762,493,3091,2908,925,138804,83552
217,824,2259,26053,1108,1271,6263,1826,471,767,495,3096,2936,929,138805,390261
218,826,2260,27086,1112,1272,6294,1849,472,771,501,3097,2937,939,138881,143678
219,836,2261,29123,1121,1280,6323,1850,473,773,517,3104,2977,940,138882,219875
220,841,2263,50814,1128,1281,6326,1857,476,775,533,3110,2984,941,138883,219874
221,842,2266,54880,1130,1282,6328,1859,477,776,549,3131,3039,942,143496,390264
222,846,2290,55209,1131,1289,6329,1879,478,778,563,3142,3043,947,143502,116337
223,860,2296,55636,1132,1291,6453,1901,486,779,566,3159,3053,953,143503,90993
224,861,2303,57167,1147,1314,6491,1911,487,783,576,3164,3061,960,144124,100169851
225,862,2312,57492,1173,1315,6549,1915,488,785,577,3166,3065,961,144125,113746
226,864,2318,57526,1175,1316,6558,1917,491,788,578,3167,3140,962,150681,283116
229,865,2324,60529,1182,1329,6586,1938,492,801,580,3169,3156,968,158131,219432
230,867,2335,64324,1183,1349,6597,1951,498,815,581,3170,3242,990,162998,84767
231,871,2492,64840,1184,1350,6599,1952,501,825,587,3171,3251,994,196335,282775
238,875,2495,79719,1186,1351,6653,1954,509,841,590,3172,3269,999,219417,7299
239,889,2512,79813,1196,1363,6654,1958,513,842,593,3174,3274,1000,219428,283189
240,890,2516,84295,1198,1365,6708,1959,514,843,594,3175,3283,1001,219429,10394
241,891,2617,85358,1209,1385,6709,1968,518,845,595,3195,3290,1004,219431,4322
242,899,2625,89884,1211,1387,6710,1973,523,847,596,3196,3350,1006,219432,414301
246,905,2626,90167,1213,1389,6711,1974,525,857,597,3198,3351,1009,219436,25766
247,919,2660,112476,1271,1393,6712,1975,526,859,598,3199,3352,1012,219437,359787
